epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,141.451,1.51793,1.35643,1.19178,0.86846,0.7285,0.84178,0.46941,1.50096,1.10533,1.17413,0.0099845,0.00332817,0.0099845,0.00332817,0.0099845,0.00332817,0.0099845,0.00332817
2,267.996,1.49885,0.95058,1.17503,0.8005,0.68984,0.78203,0.41093,1.63494,1.19821,1.24621,0.0197866,0.00659555,0.0197866,0.00659555,0.0197866,0.00659555,0.0197866,0.00659555
3,390.524,1.53324,0.95977,1.20605,0.76557,0.48277,0.55839,0.29084,1.90244,1.9976,1.39743,0.0293908,0.00979693,0.0293908,0.00979693,0.0293908,0.00979693,0.0293908,0.00979693
4,512.656,1.53778,0.95315,1.21147,0.88239,0.75683,0.85248,0.48575,1.50371,0.93438,1.19389,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,634.577,1.48972,0.88479,1.18712,0.85871,0.70204,0.80764,0.4627,1.54748,1.13731,1.20194,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,756.601,1.45632,0.84265,1.168,0.89086,0.81376,0.89757,0.54024,1.39287,0.80991,1.13398,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,878.203,1.43463,0.82101,1.15522,0.89441,0.79308,0.88959,0.53266,1.40426,0.79822,1.13878,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1000.02,1.41488,0.79795,1.14269,0.90312,0.81541,0.90335,0.54339,1.4049,0.83548,1.13467,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1121.84,1.39518,0.77771,1.13186,0.89569,0.81031,0.90242,0.55195,1.36883,0.77766,1.11488,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1243.89,1.38806,0.76525,1.12958,0.90937,0.82562,0.91321,0.56635,1.34061,0.76563,1.10169,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1365.92,1.37255,0.75227,1.12288,0.90553,0.82991,0.91281,0.56669,1.34929,0.74955,1.10226,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1487.84,1.36145,0.74281,1.11707,0.90803,0.8342,0.92167,0.57608,1.32931,0.71653,1.09683,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
